texto,sentimiento
"El producto me sorprendió gratamente, funciona muy bien","positivo"
"La atención fue rápida y cordial, me sentí escuchado","positivo"
"La entrega llegó antes de lo esperado, excelente servicio","positivo"
"La aplicación es intuitiva y fácil de usar","positivo"
"El empaque estaba impecable, muy bien cuidado","positivo"
"El soporte técnico resolvió mi problema en minutos","positivo"
"La compra fue sencilla y segura","positivo"
"El artículo tiene buena calidad, justo lo que buscaba","positivo"
"El servicio cumplió más de lo prometido","positivo"
"La experiencia fue muy agradable, repetiría sin duda","positivo"
"El producto es cómodo y práctico","positivo"
"La atención al cliente fue sobresaliente","positivo"
"El envío llegó puntual y sin contratiempos","positivo"
"El artículo funciona de maravilla, estoy satisfecho","positivo"
"La compra fue rápida y sin complicaciones","positivo"
"El servicio técnico fue muy atento y resolutivo","positivo"
"El producto tiene gran calidad, me gustó mucho","positivo"
"La atención fue cálida y profesional","positivo"
"El servicio es confiable y lo recomiendo","positivo"
"El empaque llegó en perfecto estado","positivo"
"El artículo es justo lo que necesitaba","positivo"
"El soporte respondió rápido y con soluciones claras","positivo"
"La experiencia de compra fue excelente","positivo"
"El producto superó mis expectativas","positivo"
"La atención fue amable y eficiente","positivo"
"El servicio es práctico y fácil de usar","positivo"
"El envío fue más rápido de lo que esperaba","positivo"
"El artículo tiene buen diseño y acabado","positivo"
"La compra fue muy clara y sin problemas","positivo"
"El soporte técnico fue muy profesional","positivo"
"El producto es resistente y duradero","positivo"
"La atención fue muy cordial","positivo"
"El servicio cumplió perfectamente","positivo"
"El artículo llegó completo y bien protegido","positivo"
"La compra fue muy sencilla","positivo"
"El producto funciona mejor de lo esperado","positivo"
"La atención fue excelente","positivo"
"El servicio es rápido y confiable","positivo"
"El artículo tiene gran calidad","positivo"
"El envío fue impecable","positivo"
"El producto es justo lo que buscaba","positivo"
"La atención fue muy buena","positivo"
"El servicio cumplió con todo lo prometido","positivo"
"El artículo tiene excelente acabado","positivo"
"La compra fue muy fácil","positivo"
"El producto funciona sin fallas","positivo"
"La atención fue muy amable","positivo"
"El servicio es eficiente","positivo"
"El artículo llegó en perfectas condiciones","positivo"
"El envío fue puntual y seguro","positivo"

"El producto mide 20 cm de largo","neutro"
"La entrega se realizó el jueves por la tarde","neutro"
"El artículo está hecho de metal ligero","neutro"
"El servicio incluye dos métodos de pago","neutro"
"La aplicación requiere registro previo","neutro"
"El paquete contenía tres piezas y un manual","neutro"
"El envío se realizó por correo estándar","neutro"
"El producto tiene garantía de seis meses","neutro"
"La compra se registró con número de orden 1234","neutro"
"El artículo está disponible en color gris","neutro"
"El servicio opera de lunes a viernes","neutro"
"El producto incluye cable USB","neutro"
"La entrega se hizo en la dirección indicada","neutro"
"El artículo está fabricado en México","neutro"
"El servicio ofrece soporte en español","neutro"
"El producto tiene un peso de 800 gramos","neutro"
"La compra se realizó con tarjeta débito","neutro"
"El envío tardó cuatro días hábiles","neutro"
"El artículo viene en caja sellada","neutro"
"El servicio cuenta con atención telefónica","neutro"
"El producto mide 15 cm de ancho","neutro"
"La entrega se realizó en la mañana","neutro"
"El artículo está hecho de tela sintética","neutro"
"El servicio incluye opción de envío express","neutro"
"La aplicación requiere conexión estable","neutro"
"El paquete contenía dos accesorios","neutro"
"El envío se realizó por mensajería privada","neutro"
"El producto tiene garantía de un año","neutro"
"La compra se registró con número de orden 5678","neutro"
"El artículo está disponible en color azul","neutro"
"El servicio opera los fines de semana","neutro"
"El producto incluye manual de usuario","neutro"
"La entrega se hizo en el punto acordado","neutro"
"El artículo está fabricado en Colombia","neutro"
"El servicio ofrece soporte en inglés","neutro"
"El producto pesa 1.2 kg","neutro"
"La compra se realizó en línea","neutro"
"El envío tardó dos días hábiles","neutro"
"El artículo viene en bolsa plástica","neutro"
"El servicio cuenta con chat en línea","neutro"
"El producto mide 25 cm de alto","neutro"
"La entrega se realizó el lunes","neutro"
"El artículo está hecho de madera","neutro"
"El servicio incluye tres planes distintos","neutro"
"La aplicación requiere actualización periódica","neutro"
"El paquete contenía cuatro piezas","neutro"
"El envío se realizó por transporte terrestre","neutro"
"El producto tiene garantía extendida","neutro"
"La compra se registró con número de orden 8910","neutro"
"El artículo está disponible en color rojo","neutro"

"El producto llegó dañado y nadie respondió mi reclamo","negativo"
"La atención fue lenta y poco clara","negativo"
"El envío tardó demasiado, muy mal servicio","negativo"
"El artículo no corresponde con la descripción","negativo"
"El soporte nunca contestó mis mensajes","negativo"
"La compra fue complicada y confusa","negativo"
"El producto se rompió al poco tiempo","negativo"
"La atención fue grosera y poco profesional","negativo"
"El servicio es caro y no vale la pena","negativo"
"El empaque llegó abierto y maltratado","negativo"
"El artículo no funciona como debería","negativo"
"El envío se retrasó sin explicación","negativo"
"El soporte técnico no supo ayudarme","negativo"
"La compra fue frustrante, no volveré a hacerlo","negativo"
"El producto es de mala calidad","negativo"
"El servicio no cumplió lo prometido","negativo"
"El artículo llegó incompleto","negativo"
"El envío fue un desastre, muy mal organizado","negativo"
"El soporte no resolvió nada","negativo"
"El producto se siente frágil y poco confiable","negativo"
"La atención fue fría y distante","negativo"
"El servicio es lento y poco eficiente","negativo"
"El artículo llegó con piezas faltantes","negativo"
"El envío fue confuso y mal gestionado","negativo"
"El soporte técnico no dio solución","negativo"
"La compra fue poco clara","negativo"
"El producto no cumple lo que promete","negativo"
"La atención fue descuidada","negativo"
"El servicio es deficiente","negativo"
"El artículo llegó en mal estado","negativo"
"El envío tardó más de lo indicado","negativo"
"El soporte fue inútil","negativo"
"La compra fue decepcionante","negativo"
"El producto se dañó rápido","negativo"
"La atención fue desagradable","negativo"
"El servicio no es confiable","negativo"
"El artículo no sirve","negativo"
"El envío fue muy tardío","negativo"
"El soporte no respondió","negativo"
"La compra fue un problema","negativo"
"El producto llegó incompleto","negativo"
"La atención fue poco profesional","negativo"
"El servicio no resolvió nada","negativo"
"El artículo estaba defectuoso","negativo"
"El envío fue muy lento","negativo"
"El soporte técnico fue ineficaz","negativo"
"La compra fue confusa","negativo"
"El producto no funcionó","negativo"
"La atención fue mala","negativo"
"El servicio fue decepcionante","negativo"
